counts,revenue,meter_expired,outside_lines,off_str,fine_$63,fine_$58,single_type,flat,tod,jump
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
325,20475.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
325,20475.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
40,2320.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
40,2320.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
325,20475.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
68,4284.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
30,1740.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
14,882.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
13,819.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
321,20223.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
109,6867.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
29,1827.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
321,20223.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
61,3843.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
319,20097.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
318,20034.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,1071.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
317,19971.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
316,19908.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
55,3465.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
315,19845.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
313,19719.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
312,19656.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
37,2331.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,1044.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
17,1071.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
311,19593.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
310,19530.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
36,2268.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
309,19467.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
308,19404.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
61,3843.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21,1323.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
14,882.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
306,19278.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
305,19215.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
304,19152.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
303,19089.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
302,19026.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
301,18963.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
301,18963.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
298,18774.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
297,18711.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
295,18585.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
21,1323.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
291,18333.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
291,18333.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
40,2520.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
288,18144.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
13,819.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
287,18081.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20,1160.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
287,18081.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
66,4158.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
286,18018.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
285,17955.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
284,17892.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
282,17766.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
30,1740.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
282,17766.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
281,17703.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
94,5922.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
22,1386.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
